free_mem_total free_swap_total virt resources cpu_percentage time
2424,9 1906,0 12392 7856 93,3 0:00.14
2383,2 1906,0 55424 50888 100,0 0:01.64
2341,8 1906,0 98324 93712 100,0 0:03.15
2300,0 1906,0 141092 136480 100,0 0:04.66
2259,4 1906,0 182804 178192 100,0 0:06.17
2220,0 1906,0 223064 218584 100,0 0:07.68
2182,0 1906,0 261740 257128 100,0 0:09.19
2144,4 1906,0 300152 295672 100,0 0:10.71
2108,2 1906,0 337112 332632 93,3 0:12.21
2072,5 1906,0 373676 369064 100,0 0:13.72
2037,6 1906,0 409448 404704 100,0 0:15.24
2003,2 1906,0 444692 440080 100,0 0:16.75
1969,1 1906,0 479540 474928 100,0 0:18.27
1935,2 1906,0 513992 509512 100,0 0:19.79
1901,7 1906,0 548048 543568 87,5 0:21.31
1869,2 1906,0 581840 577360 93,8 0:22.83
1836,8 1906,0 615104 610360 100,0 0:24.36
1803,5 1906,0 648632 643888 100,0 0:25.88
1771,5 1906,0 681368 676888 100,0 0:27.41
1739,2 1906,0 714368 709624 100,0 0:28.93
1707,8 1906,0 746840 742360 93,3 0:30.45
1676,0 1906,0 779180 774568 100,0 0:31.98
1644,4 1906,0 811256 806776 100,0 0:33.50
1613,6 1906,0 843464 838984 93,3 0:35.03
1582,6 1906,0 875408 870664 100,0 0:36.57
1550,7 1906,0 906560 902080 100,0 0:38.10
1522,0 1906,0 937052 932440 100,0 0:39.64
1491,5 1906,0 967544 962800 93,3 0:41.16
1461,7 1906,0 998828 994216 100,0 0:42.70
1432,0 1906,0 1028924 1,0g 100,0 0:44.23
1401,9 1906,0 1059416 1,0g 100,0 0:45.76
1372,1 1906,0 1090172 1,0g 100,0 0:47.29
1343,5 1906,0 1119740 1,1g 100,0 0:48.82
1314,6 1906,0 1149176 1,1g 93,3 0:50.35
1285,7 1906,0 1178744 1,1g 100,0 0:51.89
1257,3 1906,0 1208048 1,1g 93,8 0:53.42
1228,8 1906,0 1237352 1,2g 100,0 0:54.96
1200,3 1906,0 1266392 1,2g 100,0 0:56.51
1170,1 1906,0 1295828 1,2g 100,0 0:58.07
1143,0 1906,0 1324604 1,3g 87,5 0:59.61
1115,0 1906,0 1353512 1,3g 100,0 1:01.16
1086,4 1906,0 1382288 1,3g 93,3 1:02.70
1058,8 1906,0 1411064 1,3g 100,0 1:04.24
1031,3 1906,0 1439048 1,4g 100,0 1:05.80
1003,5 1906,0 1467032 1,4g 87,5 1:07.34
975,2 1906,0 1495412 1,4g 100,0 1:08.88
948,6 1906,0 1523792 1,4g 100,0 1:10.42
921,6 1906,0 1551116 1,5g 100,0 1:11.98
895,0 1906,0 1578044 1,5g 100,0 1:13.52
868,1 1906,0 1605632 1,5g 100,0 1:15.07
840,0 1906,0 1633748 1,6g 100,0 1:16.61
814,2 1906,0 1660544 1,6g 100,0 1:18.14
786,8 1906,0 1688396 1,6g 100,0 1:19.70
759,9 1906,0 1715984 1,6g 100,0 1:21.25
732,6 1906,0 1743572 1,7g 93,3 1:22.78
705,8 1906,0 1770896 1,7g 100,0 1:24.34
679,9 1906,0 1797692 1,7g 100,0 1:25.88
654,0 1906,0 1824488 1,7g 100,0 1:27.42
628,5 1906,0 1850756 1,8g 100,0 1:28.96
602,0 1906,0 1877420 1,8g 100,0 1:30.51
574,4 1906,0 1905404 1,8g 93,3 1:32.05
548,4 1906,0 1932068 1,8g 100,0 1:33.59
521,8 1906,0 1959392 1,9g 100,0 1:35.14
496,2 1906,0 1985924 1,9g 100,0 1:36.68
469,8 1906,0 2012192 1,9g 100,0 1:38.23
443,9 1906,0 2039384 1,9g 100,0 1:39.80
418,4 1906,0 2065388 2,0g 93,3 1:41.34
392,6 1906,0 2092184 2,0g 100,0 1:42.90
367,1 1906,0 2118716 2,0g 100,0 1:44.46
340,7 1906,0 2145248 2,0g 100,0 1:46.02
313,9 1906,0 2172572 2,1g 100,0 1:47.56
287,2 1906,0 2198840 2,1g 100,0 1:49.15
261,4 1906,0 2225372 2,1g 100,0 1:50.71
236,3 1906,0 2251508 2,1g 93,8 1:52.27
211,9 1906,0 2276588 2,2g 100,0 1:53.83
184,9 1906,0 2303648 2,2g 100,0 1:55.41
159,8 1906,0 2329652 2,2g 93,3 1:56.96
135,1 1906,0 2354336 2,2g 100,0 1:58.54
109,3 1906,0 2381000 2,3g 100,0 2:00.09
105,9 1905,7 2405156 2,3g 100,0 2:01.81
104,3 1905,0 2431556 2,3g 77,8 2:03.63
103,9 1903,7 2458616 2,3g 100,0 2:05.32
108,7 1902,2 2483300 2,4g 80,0 2:06.90
109,4 1899,7 2506400 2,4g 93,8 2:08.48
107,4 1897,4 2529764 2,4g 100,0 2:10.14
105,7 1893,9 2553656 2,4g 100,0 2:11.69
106,8 1887,4 2578868 2,5g 100,0 2:13.28
108,2 1884,4 2604740 2,5g 100,0 2:14.85
118,6 1874,6 2631404 2,5g 100,0 2:16.42
107,4 1871,8 2658728 2,5g 100,0 2:18.07
108,9 1866,8 2683676 2,6g 87,5 2:19.62
109,1 1858,0 2709020 2,6g 100,0 2:21.19
106,2 1852,4 2735156 2,6g 100,0 2:22.76
107,7 1850,9 2760896 2,6g 93,8 2:24.33
106,7 1844,9 2784920 2,7g 100,0 2:25.91
106,2 1832,9 2811188 2,7g 100,0 2:27.51
110,5 1829,2 2834552 2,7g 100,0 2:29.14
107,4 1820,9 2860028 2,7g 100,0 2:30.72
103,2 1809,9 2884844 2,7g 93,3 2:32.26
109,2 1805,8 2910320 2,8g 100,0 2:33.87
110,4 1800,6 2933552 2,8g 100,0 2:35.47
113,0 1786,5 2958236 2,8g 100,0 2:37.13
104,0 1771,7 2981072 2,8g 100,0 2:38.65
102,3 1764,9 3005624 2,9g 100,0 2:40.34
111,8 1735,8 3053012 2,9g 100,0 2:43.22
112,6 1699,9 3085220 2,9g 100,0 2:45.37
109,5 1695,9 3111224 3,0g 100,0 2:47.04
105,2 1659,5 3139076 3,0g 95,0 2:48.90
127,5 1620,6 3161780 3,0g 100,0 2:50.48
113,8 1620,9 3200060 3,0g 100,0 2:53.27
120,7 1593,8 3225668 3,1g 100,0 2:55.17
117,0 1560,9 3255236 3,1g 87,5 2:57.45
109,9 1544,3 3298928 3,1g 100,0 3:00.14
104,1 1518,7 3328892 3,1g 93,3 3:01.96
109,3 1500,9 3355424 3,2g 100,0 3:03.61
103,6 1473,5 3380900 3,2g 100,0 3:05.25
114,5 1405,8 3414164 3,2g 100,0 3:07.38
105,7 1374,1 3473960 3,2g 100,0 3:11.52
